,ID_MN_RESI,NU_IDADE_N,p
364,291080.0,17.86111111111111,0.6800710953121529
365,291120.0,12.277777777777779,0.5345830639948288
368,291360.0,26.333333333333332,0.783001808318264
369,291390.0,19.0,0.6992481203007519
370,291450.0,27.0,0.7883597883597884
372,291730.0,11.666666666666666,0.5102040816326532
373,291750.0,9.0,0.3650793650793652
374,291840.0,26.0,0.7802197802197802
375,291920.0,29.0,0.8029556650246306
376,291955.0,45.0,0.873015873015873
377,292200.0,11.0,0.48051948051948057
378,292350.0,39.0,0.8534798534798536
379,292380.0,42.0,0.8639455782312926
382,292575.0,15.625,0.6342857142857143
385,292740.0,15.801917808219178,0.6383802407000563
387,292870.0,50.0,0.8857142857142857
388,293050.0,20.0,0.7142857142857143
390,310150.0,17.0,0.6638655462184875
392,310530.0,23.0,0.7515527950310559
393,310560.0,19.0,0.6992481203007519
394,310620.0,13.227053140096618,0.5679849733903788
395,310670.0,16.716666666666665,0.6581683520865973
396,310730.0,29.0,0.8029556650246306
397,310830.0,11.0,0.48051948051948057
399,311050.0,23.0,0.7515527950310559
401,311450.0,28.0,0.7959183673469388
402,311530.0,18.5,0.6911196911196911
403,311660.0,46.0,0.8757763975155279
405,311830.0,19.666666666666668,0.7094430992736078
406,311860.0,25.0,0.7714285714285715
407,312230.0,46.0,0.8757763975155279
413,313240.0,22.0,0.7402597402597403
414,313300.0,26.0,0.7802197802197802
415,313380.0,20.0,0.7142857142857143
416,313440.0,6.0,0.04761904761904778
417,313670.0,23.4,0.7557997557997558
419,314160.0,52.25,0.8906356801093643
420,314220.0,27.0,0.7883597883597884
422,314390.0,11.5,0.5031055900621119
423,314480.0,22.333333333333332,0.744136460554371
429,314760.0,13.0,0.5604395604395604
431,314910.0,32.0,0.8214285714285714
434,315170.0,11.0,0.48051948051948057
435,315180.0,10.916666666666666,0.47655398037077434
436,315250.0,24.125,0.7631384159881569
438,315460.0,7.291666666666667,0.21632653061224494
441,315670.0,13.0,0.5604395604395604
444,315990.0,6.875,0.168831168831169
445,316250.0,18.666666666666668,0.6938775510204083
448,316470.0,19.0,0.6992481203007519
449,316720.0,42.0,0.8639455782312926
451,316930.0,20.0,0.7142857142857143
453,316990.0,33.0,0.8268398268398268
454,317020.0,14.91,0.6167481076937817
455,317040.0,20.0,0.7142857142857143
459,320020.0,18.0,0.6825396825396826
460,320130.0,9.791666666666666,0.4164133738601824
461,320270.0,21.0,0.7278911564625851
462,320530.0,35.5,0.8390342052313884
464,330020.0,18.0,0.6825396825396826
465,330023.0,18.0,0.6825396825396826
